Close,Open,Time,TradedVolume,askClose,bidClose,ema
0.0,0.0,2018-03-12  08:01:00,575,1.23384,1.23378,1.232416
0.0,0.0,2018-03-12  08:02:00,893,1.23338,1.23332,1.232416
0.0,0.0,2018-03-12  08:03:00,606,1.23332,1.23326,1.232416
0.0,0.0,2018-03-12  08:04:00,551,1.23313,1.23307,1.232416
0.0,0.0,2018-03-12  08:05:00,758,1.23343,1.23337,1.232416
0.0,0.0,2018-03-12  08:06:00,595,1.23362,1.23356,1.232416
0.0,0.0,2018-03-12  08:07:00,694,1.23348,1.23333,1.232416
0.0,0.0,2018-03-12  08:08:00,477,1.23335,1.23329,1.232416
0.0,0.0,2018-03-12  08:09:00,438,1.23327,1.23321,1.232416
0.0,0.0,2018-03-12  08:10:00,367,1.23324,1.23318,1.232416
0.0,0.0,2018-03-12  08:11:00,321,1.23331,1.23316,1.232416
0.0,0.0,2018-03-12  08:12:00,424,1.23318,1.23312,1.232416
0.0,0.0,2018-03-12  08:13:00,134,1.23316,1.2331,1.232416
0.0,0.0,2018-03-12  08:14:00,202,1.23303,1.23297,1.232416
0.0,0.0,2018-03-12  08:15:00,708,1.23324,1.23318,1.232416
0.0,0.0,2018-03-12  08:16:00,363,1.23314,1.23308,1.232416
0.0,0.0,2018-03-12  08:17:00,302,1.23287,1.23281,1.232416
0.0,0.0,2018-03-12  08:18:00,591,1.23292,1.23286,1.232416
0.0,0.0,2018-03-12  08:19:00,341,1.23294,1.23288,1.232416
0.0,0.0,2018-03-12  08:20:00,352,1.23322,1.23316,1.232416
0.0,0.0,2018-03-12  08:21:00,286,1.23323,1.23317,1.232416
0.0,0.0,2018-03-12  08:22:00,248,1.23318,1.23312,1.232416
0.0,0.0,2018-03-12  08:23:00,126,1.23324,1.23318,1.232416
0.0,0.0,2018-03-12  08:24:00,399,1.23318,1.23312,1.232416
0.0,0.0,2018-03-12  08:25:00,723,1.23288,1.23282,1.232416
0.0,0.0,2018-03-12  08:26:00,598,1.23286,1.2328,1.232416
0.0,0.0,2018-03-12  08:27:00,557,1.23273,1.23267,1.232416
0.0,0.0,2018-03-12  08:28:00,367,1.23274,1.23268,1.232416
0.0,0.0,2018-03-12  08:29:00,377,1.23285,1.23279,1.232416
0.0,0.0,2018-03-12  08:30:00,451,1.2329,1.23284,1.232416
0.0,0.0,2018-03-12  08:31:00,332,1.233,1.23294,1.232416
0.0,0.0,2018-03-12  08:32:00,337,1.23288,1.23282,1.232416
0.0,0.0,2018-03-12  08:33:00,261,1.23289,1.23274,1.232416
0.0,0.0,2018-03-12  08:34:00,345,1.23281,1.23275,1.232416
0.0,0.0,2018-03-12  08:35:00,236,1.23293,1.23287,1.232416
0.0,0.0,2018-03-12  08:36:00,309,1.23285,1.23279,1.232416
0.0,0.0,2018-03-12  08:37:00,177,1.23278,1.23272,1.232416
0.0,0.0,2018-03-12  08:38:00,301,1.23288,1.23273,1.232416
0.0,0.0,2018-03-12  08:39:00,171,1.23274,1.23268,1.232416
0.0,0.0,2018-03-12  08:40:00,202,1.23269,1.23263,1.232416
0.0,0.0,2018-03-12  08:41:00,338,1.23255,1.23249,1.232416
0.0,0.0,2018-03-12  08:42:00,212,1.23261,1.23255,1.232416
0.0,0.0,2018-03-12  08:43:00,172,1.23259,1.23253,1.232416
0.0,0.0,2018-03-12  08:44:00,195,1.23258,1.23243,1.232416
0.0,1.23228,2018-03-12  08:45:00,308,1.23243,1.23228,1.232416
0.0,0.0,2018-03-12  08:46:00,446,1.23268,1.23262,1.232416
0.0,0.0,2018-03-12  08:47:00,276,1.23284,1.23278,1.232416
0.0,0.0,2018-03-12  08:48:00,450,1.23294,1.23288,1.232416
0.0,0.0,2018-03-12  08:49:00,327,1.23274,1.23268,1.232416
0.0,0.0,2018-03-12  08:50:00,346,1.23292,1.23286,1.232416
0.0,0.0,2018-03-12  08:51:00,367,1.23294,1.23288,1.232416
0.0,0.0,2018-03-12  08:52:00,323,1.23299,1.23284,1.232416
0.0,0.0,2018-03-12  08:53:00,489,1.23295,1.23289,1.232416
0.0,0.0,2018-03-12  08:54:00,302,1.2329,1.23284,1.232416
0.0,0.0,2018-03-12  08:55:00,343,1.23299,1.23284,1.232416
0.0,0.0,2018-03-12  08:56:00,328,1.23299,1.23284,1.232416
0.0,0.0,2018-03-12  08:57:00,136,1.23298,1.23292,1.232416
0.0,0.0,2018-03-12  08:58:00,279,1.23321,1.23315,1.232416
1.23336,0.0,2018-03-12  08:59:00,707,1.23351,1.23336,1.232416
0.0,0.0,2018-03-12  09:00:00,497,1.23335,1.23329,1.232416
0.0,0.0,2018-03-12  09:01:00,316,1.23319,1.23313,1.232642
0.0,0.0,2018-03-12  09:02:00,309,1.23318,1.23312,1.232642
0.0,0.0,2018-03-12  09:03:00,235,1.23301,1.23295,1.232642
0.0,0.0,2018-03-12  09:04:00,222,1.23289,1.23274,1.232642
0.0,0.0,2018-03-12  09:05:00,277,1.23296,1.2329,1.232642
0.0,0.0,2018-03-12  09:06:00,238,1.23304,1.23298,1.232642
0.0,0.0,2018-03-12  09:07:00,351,1.23286,1.2328,1.232642
0.0,0.0,2018-03-12  09:08:00,163,1.23285,1.23279,1.232642
0.0,0.0,2018-03-12  09:09:00,492,1.23286,1.2328,1.232642
0.0,0.0,2018-03-12  09:10:00,289,1.23293,1.23287,1.232642
0.0,0.0,2018-03-12  09:11:00,282,1.23303,1.23297,1.232642
0.0,0.0,2018-03-12  09:12:00,575,1.2331,1.23304,1.232642
0.0,0.0,2018-03-12  09:13:00,465,1.23313,1.23307,1.232642
0.0,0.0,2018-03-12  09:14:00,246,1.23304,1.23298,1.232642
0.0,0.0,2018-03-12  09:15:00,252,1.23311,1.23305,1.232642
0.0,0.0,2018-03-12  09:16:00,217,1.2331,1.23304,1.232642
0.0,0.0,2018-03-12  09:17:00,205,1.2331,1.23304,1.232642
0.0,0.0,2018-03-12  09:18:00,201,1.23284,1.23278,1.232642
0.0,0.0,2018-03-12  09:19:00,188,1.23294,1.23288,1.232642
0.0,0.0,2018-03-12  09:20:00,187,1.23284,1.23278,1.232642
0.0,1.2326,2018-03-12  09:21:00,253,1.23266,1.2326,1.232642
0.0,0.0,2018-03-12  09:22:00,249,1.23269,1.23254,1.232642
0.0,0.0,2018-03-12  09:23:00,215,1.2327,1.23264,1.232642
0.0,0.0,2018-03-12  09:24:00,220,1.23269,1.23263,1.232642
0.0,0.0,2018-03-12  09:25:00,430,1.23274,1.23268,1.232642
0.0,0.0,2018-03-12  09:26:00,257,1.23294,1.23288,1.232642
0.0,0.0,2018-03-12  09:27:00,311,1.23307,1.23301,1.232642
0.0,0.0,2018-03-12  09:28:00,308,1.23283,1.23277,1.232642
0.0,0.0,2018-03-12  09:29:00,227,1.23295,1.23289,1.232642
0.0,0.0,2018-03-12  09:30:00,124,1.23294,1.23288,1.232642
0.0,0.0,2018-03-12  09:31:00,205,1.23293,1.23287,1.232642
0.0,1.23256,2018-03-12  09:32:00,370,1.23262,1.23256,1.232642
0.0,0.0,2018-03-12  09:33:00,184,1.23263,1.23257,1.232642
1.23273,1.23273,2018-03-12  09:34:00,208,1.23279,1.23273,1.232642
0.0,0.0,2018-03-12  09:35:00,192,1.23287,1.23272,1.232642
0.0,0.0,2018-03-12  09:36:00,192,1.23275,1.23269,1.232642
1.23263,1.23263,2018-03-12  09:37:00,129,1.23269,1.23263,1.232642
0.0,0.0,2018-03-12  09:38:00,282,1.23245,1.23239,1.232642
0.0,0.0,2018-03-12  09:39:00,253,1.23252,1.23246,1.232642
0.0,0.0,2018-03-12  09:40:00,327,1.23243,1.23237,1.232642
0.0,0.0,2018-03-12  09:41:00,303,1.23248,1.23242,1.232642
0.0,0.0,2018-03-12  09:42:00,457,1.23228,1.23222,1.232642
0.0,0.0,2018-03-12  09:43:00,411,1.23216,1.2321,1.232642
0.0,0.0,2018-03-12  09:44:00,326,1.23215,1.23209,1.232642
0.0,0.0,2018-03-12  09:45:00,326,1.23214,1.23208,1.232642
0.0,0.0,2018-03-12  09:46:00,206,1.23213,1.23207,1.232642
0.0,0.0,2018-03-12  09:47:00,133,1.23217,1.23211,1.232642
0.0,0.0,2018-03-12  09:48:00,213,1.23204,1.23198,1.232642
0.0,0.0,2018-03-12  09:49:00,182,1.23222,1.23216,1.232642
0.0,0.0,2018-03-12  09:50:00,263,1.23236,1.2323,1.232642
0.0,0.0,2018-03-12  09:51:00,206,1.23228,1.23222,1.232642
0.0,0.0,2018-03-12  09:52:00,160,1.23209,1.23203,1.232642
0.0,0.0,2018-03-12  09:53:00,106,1.23203,1.23197,1.232642
0.0,0.0,2018-03-12  09:54:00,127,1.23215,1.23209,1.232642
0.0,0.0,2018-03-12  09:55:00,313,1.23196,1.2319,1.232642
0.0,0.0,2018-03-12  09:56:00,469,1.23188,1.23182,1.232642
0.0,0.0,2018-03-12  09:57:00,499,1.23176,1.2317,1.232642
0.0,0.0,2018-03-12  09:58:00,734,1.23155,1.23149,1.232642
0.0,0.0,2018-03-12  09:59:00,583,1.23124,1.23118,1.232642
0.0,0.0,2018-03-12  10:00:00,662,1.23143,1.23137,1.232642
0.0,0.0,2018-03-12  10:01:00,235,1.23145,1.23139,1.232331
0.0,0.0,2018-03-12  10:02:00,337,1.23141,1.23135,1.232331
0.0,0.0,2018-03-12  10:03:00,316,1.23133,1.23127,1.232331
0.0,0.0,2018-03-12  10:04:00,404,1.2312,1.23114,1.232331
0.0,0.0,2018-03-12  10:05:00,319,1.23109,1.23103,1.232331
0.0,0.0,2018-03-12  10:06:00,332,1.23128,1.23113,1.232331
0.0,0.0,2018-03-12  10:07:00,325,1.23137,1.23131,1.232331
0.0,0.0,2018-03-12  10:08:00,440,1.2313,1.23124,1.232331
0.0,0.0,2018-03-12  10:09:00,235,1.23119,1.23113,1.232331
0.0,0.0,2018-03-12  10:10:00,330,1.2313,1.23124,1.232331
0.0,0.0,2018-03-12  10:11:00,159,1.23139,1.23133,1.232331
0.0,0.0,2018-03-12  10:12:00,279,1.2315,1.23144,1.232331
0.0,0.0,2018-03-12  10:13:00,327,1.2314,1.23134,1.232331
0.0,0.0,2018-03-12  10:14:00,276,1.23141,1.23135,1.232331
0.0,0.0,2018-03-12  10:15:00,254,1.23138,1.23132,1.232331
0.0,0.0,2018-03-12  10:16:00,426,1.23121,1.23115,1.232331
0.0,0.0,2018-03-12  10:17:00,276,1.23135,1.23129,1.232331
0.0,0.0,2018-03-12  10:18:00,283,1.23126,1.2312,1.232331
0.0,0.0,2018-03-12  10:19:00,402,1.23111,1.23105,1.232331
0.0,0.0,2018-03-12  10:20:00,459,1.2309,1.23084,1.232331
0.0,0.0,2018-03-12  10:21:00,369,1.231,1.23094,1.232331
0.0,0.0,2018-03-12  10:22:00,213,1.23111,1.23105,1.232331
0.0,0.0,2018-03-12  10:23:00,297,1.23109,1.23103,1.232331
0.0,0.0,2018-03-12  10:24:00,271,1.23123,1.23117,1.232331
0.0,0.0,2018-03-12  10:25:00,171,1.23127,1.23121,1.232331
0.0,0.0,2018-03-12  10:26:00,164,1.23115,1.23109,1.232331
0.0,0.0,2018-03-12  10:27:00,267,1.23117,1.23111,1.232331
0.0,0.0,2018-03-12  10:28:00,238,1.23122,1.23116,1.232331
0.0,0.0,2018-03-12  10:29:00,250,1.23136,1.2313,1.232331
0.0,0.0,2018-03-12  10:30:00,386,1.23133,1.23118,1.232331
0.0,0.0,2018-03-12  10:31:00,208,1.23136,1.2313,1.232331
0.0,0.0,2018-03-12  10:32:00,69,1.23134,1.23128,1.232331
0.0,0.0,2018-03-12  10:33:00,266,1.2312,1.23114,1.232331
0.0,0.0,2018-03-12  10:34:00,318,1.23101,1.23095,1.232331
0.0,0.0,2018-03-12  10:35:00,231,1.23107,1.23101,1.232331
0.0,0.0,2018-03-12  10:36:00,72,1.23096,1.2309,1.232331
